We have attempted to match the data in Sample_Data/REXS-Database/SEW_Parallelwellengetriebe_3stufig/sew_parallelwellengetriebe_3stufig_1-1.rexsj to the data in Sample_Data/REXS-Database/SEW_Parallelwellengetriebe_3stufig/sew_parallelwellengetriebe_3stufig_1-2.rexsj. 
92/92 components and 88/88 relations from the first data model were matched. 
92/92 components and 88/88 relations from the second data model were matched. 
 
 
The following matching of components and relations was poduced: 
Components are matched as follows: 
ID 	Type                                 	|	ID  	Type                                 
214   	assembly        	     	54,assembly,shaft                                	941,part,shaft_section      	                                   	|	214   	assembly        	     	54,assembly,shaft                                	1084,part,shaft_section      	                                   
215   	assembly        	     	54,assembly,shaft                                	942,part,shaft_section      	                                   	|	215   	assembly        	     	54,assembly,shaft                                	1085,part,shaft_section      	                                   
216   	assembly        	     	54,assembly,shaft                                	943,part,shaft_section      	                                   	|	216   	assembly        	     	54,assembly,shaft                                	1086,part,shaft_section      	                                   
217   	assembly        	     	54,assembly,shaft                                	944,part,shaft_section      	                                   	|	217   	assembly        	     	54,assembly,shaft                                	1087,part,shaft_section      	                                   
218   	assembly        	     	54,assembly,shaft                                	945,part,shaft_section      	                                   	|	218   	assembly        	     	54,assembly,shaft                                	1088,part,shaft_section      	                                   
219   	assembly        	     	54,assembly,shaft                                	946,part,shaft_section      	                                   	|	219   	assembly        	     	54,assembly,shaft                                	1089,part,shaft_section      	                                   
220   	flank           	     	23,gear,cylindrical_gear                         	886,left,flank_geometry     	887,right,flank_geometry           	|	220   	flank           	     	23,gear,cylindrical_gear                         	1029,left,flank_geometry     	1030,right,flank_geometry          
221   	flank           	     	36,gear,cylindrical_gear                         	888,left,flank_geometry     	889,right,flank_geometry           	|	221   	flank           	     	36,gear,cylindrical_gear                         	1031,left,flank_geometry     	1032,right,flank_geometry          
222   	flank           	     	40,gear,cylindrical_gear                         	890,left,flank_geometry     	891,right,flank_geometry           	|	222   	flank           	     	40,gear,cylindrical_gear                         	1033,left,flank_geometry     	1034,right,flank_geometry          
223   	flank           	     	52,gear,cylindrical_gear                         	892,left,flank_geometry     	893,right,flank_geometry           	|	223   	flank           	     	52,gear,cylindrical_gear                         	1035,left,flank_geometry     	1036,right,flank_geometry          
224   	flank           	     	56,gear,cylindrical_gear                         	894,left,flank_geometry     	895,right,flank_geometry           	|	224   	flank           	     	56,gear,cylindrical_gear                         	1037,left,flank_geometry     	1038,right,flank_geometry          
225   	flank           	     	76,gear,cylindrical_gear                         	896,left,flank_geometry     	897,right,flank_geometry           	|	225   	flank           	     	76,gear,cylindrical_gear                         	1039,left,flank_geometry     	1040,right,flank_geometry          
226   	ordered_assembly	1    	20,assembly,rolling_bearing_with_catalog_geometry	898,part,rolling_bearing_row	                                   	|	226   	ordered_assembly	1    	20,assembly,rolling_bearing_with_catalog_geometry	1041,part,rolling_bearing_row	                                   
227   	ordered_assembly	1    	21,assembly,rolling_bearing_with_catalog_geometry	899,part,rolling_bearing_row	                                   	|	227   	ordered_assembly	1    	21,assembly,rolling_bearing_with_catalog_geometry	1042,part,rolling_bearing_row	                                   
228   	ordered_assembly	1    	34,assembly,rolling_bearing_with_catalog_geometry	900,part,rolling_bearing_row	                                   	|	228   	ordered_assembly	1    	34,assembly,rolling_bearing_with_catalog_geometry	1043,part,rolling_bearing_row	                                   
229   	ordered_assembly	1    	35,assembly,rolling_bearing_with_catalog_geometry	901,part,rolling_bearing_row	                                   	|	229   	ordered_assembly	1    	35,assembly,rolling_bearing_with_catalog_geometry	1044,part,rolling_bearing_row	                                   
230   	ordered_assembly	1    	50,assembly,rolling_bearing_with_catalog_geometry	902,part,rolling_bearing_row	                                   	|	230   	ordered_assembly	1    	50,assembly,rolling_bearing_with_catalog_geometry	1045,part,rolling_bearing_row	                                   
231   	ordered_assembly	1    	51,assembly,rolling_bearing_with_catalog_geometry	903,part,rolling_bearing_row	                                   	|	231   	ordered_assembly	1    	51,assembly,rolling_bearing_with_catalog_geometry	1046,part,rolling_bearing_row	                                   
232   	ordered_assembly	1    	73,assembly,rolling_bearing_with_catalog_geometry	904,part,rolling_bearing_row	                                   	|	232   	ordered_assembly	1    	73,assembly,rolling_bearing_with_catalog_geometry	1047,part,rolling_bearing_row	                                   
233   	ordered_assembly	1    	74,assembly,rolling_bearing_with_catalog_geometry	905,part,rolling_bearing_row	                                   	|	233   	ordered_assembly	1    	74,assembly,rolling_bearing_with_catalog_geometry	1048,part,rolling_bearing_row	                                   

 
ScipOpt has produced the following output: 
feasible solution found by trivial heuristic after 0.0 seconds, objective value 0.000000e+00
presolving:
(round 1, fast)       11516 del vars, 10904 del conss, 0 add conss, 4286 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 5089 clqs
(round 2, fast)       13018 del vars, 12410 del conss, 0 add conss, 4286 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 3583 clqs
(round 3, fast)       13027 del vars, 12477 del conss, 0 add conss, 4286 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 3516 clqs
(round 4, fast)       13028 del vars, 12503 del conss, 0 add conss, 4286 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 3490 clqs
   (0.0s) running MILP presolver
   (0.0s) MILP presolver found nothing
(round 5, exhaustive) 13029 del vars, 12503 del conss, 0 add conss, 4286 chg bounds, 0 chg sides, 0 chg coeffs, 3490 upgd conss, 0 impls, 3490 clqs
   (1.0s) probing: 1000/3179 (31.5%) - 0 fixings, 0 aggregations, 43759 implications, 0 bound changes
   (1.0s) probing: 1001/3179 (31.5%) - 0 fixings, 0 aggregations, 43811 implications, 0 bound changes
   (1.0s) probing aborted: 1000/1000 successive useless probings
   (1.0s) symmetry computation started: requiring (bin +, int -, cont +), (fixed: bin -, int +, cont -)
   (1.0s) symmetry computation finished: 20 generators found (max: 1500, log10 of symmetry group size: 7.7)
presolving (6 rounds: 6 fast, 2 medium, 2 exhaustive):
 13029 deleted vars, 12503 deleted constraints, 0 added constraints, 4286 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 47301 cliques
presolved problem has 3179 variables (3179 bin, 0 int, 0 impl, 0 cont) and 3490 constraints
   3490 constraints of type <setppc>
transformed objective value is always integral (scale: 0.00333333333333333)
Presolving Time: 1.00

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
t 1.0s|     1 |     0 |     0 |     - | trivial|   0 |3179 |3490 |   0 |   0 |  0 |   0 |   0 | 2.494199e+03 | 2.545455e+00 |  Large | unknown
p 1.0s|     1 |     0 |     0 |     - |  clique|   0 |3179 |3490 |3490 |   0 |  0 |   0 |   0 | 2.494199e+03 | 1.241088e+02 |1909.69%| unknown
* 1.0s|     1 |     0 |  2023 |     - |    LP  |   0 |3179 |3501 |3490 |   0 |  0 |  11 |   0 | 1.761921e+02 | 1.761921e+02 |   0.00%| unknown
  1.0s|     1 |     0 |  2023 |     - |   108M |   0 |3179 |3501 |3490 |   0 |  0 |  11 |   0 | 1.761921e+02 | 1.761921e+02 |   0.00%| unknown

SCIP Status        : problem is solved [optimal solution found]
Solving Time (sec) : 1.00
Solving Nodes      : 1
Primal Bound       : +1.76192121212121e+02 (4 solutions)
Dual Bound         : +1.76192121212121e+02
